 time            -i(vdd)        
 2.60001000e-04  3.14661535e-05 
 2.60003000e-04  1.40379587e-04 
 2.60004570e-04  4.68870274e-03 
 2.60005667e-04  1.80812581e-03 
 2.60006444e-04  3.84005090e-04 
 2.60007305e-04  1.17882064e-04 
 2.60008274e-04  7.68339910e-05 
 2.60010000e-04  7.35969815e-05 
 2.60010194e-04  1.04245653e-04 
 2.60010582e-04  1.03940295e-04 
 2.60011357e-04  1.03999442e-04 
 2.60012909e-04  1.03951659e-04 
 2.60016012e-04  1.03899344e-04 
 2.60022217e-04  1.03851452e-04 
 2.60034629e-04  1.03811218e-04 
 2.60059451e-04  1.03782450e-04 
 2.60109097e-04  1.03766218e-04 
 2.60208388e-04  1.03759965e-04 
 2.60406969e-04  1.03756081e-04 
 2.60510000e-04  1.03755504e-04 
 2.60511000e-04  1.20102582e-04 
 2.60513000e-04  2.24401016e-04 
 2.60514791e-04  2.30254222e-03 
 2.60516636e-04  1.28016166e-03 
 2.60517831e-04 -3.26378280e-05 
 2.60519129e-04  1.30240221e-04 
 2.60520000e-04  1.43565947e-04 
 2.60520161e-04  1.04659508e-04 
 2.60520484e-04  1.03264271e-04 
 2.60521130e-04  1.03714779e-04 
 2.60522422e-04  1.03771127e-04 
 2.60525006e-04  1.03764993e-04 
 2.60530173e-04  1.03763390e-04 
 2.60540507e-04  1.03762367e-04 
 2.60561176e-04  1.03761522e-04 
 2.60602513e-04  1.03760849e-04 
 2.60685187e-04  1.03760215e-04 
 2.60850536e-04  1.03759481e-04 
 2.61000000e-04  1.03759095e-04 
 2.61001000e-04  6.42467220e-05 
 2.61003000e-04  1.58549972e-04 
 2.61004570e-04  4.08319493e-03 
 2.61005667e-04  1.42097270e-03 
 2.61006444e-04  2.57312158e-04 
 2.61007305e-04  2.38551792e-05 
 2.61008275e-04 -1.23987443e-05 
 2.61010000e-04 -1.50655629e-05 
 2.61010194e-04  3.75536630e-07 
 2.61010582e-04  1.25400763e-07 
 2.61011358e-04  2.06722189e-07 
 2.61012911e-04  2.02479253e-07 
 2.61016015e-04  1.89437982e-07 
 2.61022225e-04  1.76543367e-07 
 2.61034643e-04  1.66111306e-07 
 2.61059481e-04  1.59369854e-07 
 2.61109155e-04  1.55718990e-07 
 2.61208505e-04  1.53897325e-07 
 2.61407204e-04  1.52939228e-07 
 2.61510000e-04  1.52759687e-07 
 2.61511000e-04  1.64989706e-05 
 2.61513000e-04  1.20804468e-04 
 2.61514793e-04  2.20279956e-03 
 2.61516639e-04  1.04772554e-03 
 2.61517835e-04 -1.09071310e-04 
 2.61519134e-04  2.83303769e-05 
 2.61520000e-04  3.99259448e-05 
 2.61520162e-04  1.07697562e-06 
 2.61520485e-04 -3.44586183e-07 
 2.61521131e-04  1.08657335e-07 
 2.61522424e-04  1.64260817e-07 
 2.61525009e-04  1.53917203e-07 
