 time            -i(vdd)        
 2.60001000e-04  3.14661534e-05 
 2.60003000e-04  1.40379587e-04 
 2.60004570e-04  4.68870244e-03 
 2.60005667e-04  1.80812579e-03 
 2.60006444e-04  3.84005097e-04 
 2.60007305e-04  1.17882064e-04 
 2.60008274e-04  7.68339908e-05 
 2.60010000e-04  7.35969813e-05 
 2.60010194e-04  1.04245653e-04 
 2.60010582e-04  1.03940295e-04 
 2.60011357e-04  1.03999441e-04 
 2.60012909e-04  1.03951659e-04 
 2.60016012e-04  1.03899344e-04 
 2.60022217e-04  1.03851452e-04 
 2.60034629e-04  1.03811219e-04 
 2.60059451e-04  1.03782457e-04 
 2.60109097e-04  1.03766234e-04 
 2.60208388e-04  1.03759966e-04 
 2.60406969e-04  1.03756079e-04 
 2.60510000e-04  1.03755499e-04 
 2.60511000e-04  1.20102588e-04 
 2.60513000e-04  2.24401015e-04 
 2.60514791e-04  2.30254222e-03 
 2.60516636e-04  1.28016160e-03 
 2.60517831e-04 -3.26378210e-05 
 2.60519129e-04  1.30240221e-04 
 2.60520000e-04  1.43565946e-04 
 2.60520161e-04  1.04659509e-04 
 2.60520484e-04  1.03264271e-04 
 2.60521130e-04  1.03714778e-04 
 2.60522422e-04  1.03771127e-04 
 2.60525006e-04  1.03764992e-04 
 2.60530173e-04  1.03763389e-04 
 2.60540507e-04  1.03762355e-04 
 2.60561176e-04  1.03761537e-04 
 2.60602513e-04  1.03760860e-04 
 2.60685187e-04  1.03760209e-04 
 2.60850536e-04  1.03759488e-04 
 2.61000000e-04  1.03759094e-04 
 2.61001000e-04  6.42467304e-05 
 2.61003000e-04  1.58549977e-04 
 2.61004570e-04  4.08319493e-03 
 2.61005667e-04  1.42097254e-03 
 2.61006444e-04  2.57312172e-04 
 2.61007305e-04  2.38551803e-05 
 2.61008275e-04 -1.23987448e-05 
 2.61010000e-04 -1.50655615e-05 
 2.61010194e-04  3.75538048e-07 
 2.61010582e-04  1.25401184e-07 
 2.61011358e-04  2.06723285e-07 
 2.61012911e-04  2.02469243e-07 
 2.61016015e-04  1.89438139e-07 
 2.61022225e-04  1.76542924e-07 
 2.61034643e-04  1.66118799e-07 
 2.61059481e-04  1.59366869e-07 
 2.61109155e-04  1.55719855e-07 
 2.61208505e-04  1.53897777e-07 
 2.61407204e-04  1.52938557e-07 
 2.61510000e-04  1.52760716e-07 
