 time            -i(vdd)        
 2.60001000e-04  3.14661551e-05 
 2.60003000e-04  1.40379587e-04 
 2.60004570e-04  4.68870333e-03 
 2.60005667e-04  1.80812583e-03 
 2.60006444e-04  3.84005078e-04 
 2.60007305e-04  1.17882063e-04 
 2.60008274e-04  7.68339912e-05 
 2.60010000e-04  7.35969813e-05 
 2.60010194e-04  1.04245653e-04 
 2.60010582e-04  1.03940294e-04 
 2.60011357e-04  1.03999442e-04 
 2.60012909e-04  1.03951659e-04 
 2.60016012e-04  1.03899344e-04 
 2.60022217e-04  1.03851452e-04 
 2.60034629e-04  1.03811218e-04 
 2.60059451e-04  1.03782459e-04 
 2.60109097e-04  1.03766218e-04 
 2.60208388e-04  1.03759965e-04 
 2.60406969e-04  1.03756082e-04 
 2.60510000e-04  1.03755505e-04 
 2.60511000e-04  1.20102589e-04 
 2.60513000e-04  2.24401018e-04 
 2.60514791e-04  2.30254222e-03 
 2.60516636e-04  1.28016178e-03 
 2.60517831e-04 -3.26378373e-05 
 2.60519129e-04  1.30240214e-04 
 2.60520000e-04  1.43565949e-04 
 2.60520161e-04  1.04659510e-04 
 2.60520484e-04  1.03264271e-04 
 2.60521130e-04  1.03714781e-04 
 2.60522422e-04  1.03771128e-04 
 2.60525006e-04  1.03764992e-04 
 2.60530173e-04  1.03763393e-04 
 2.60540507e-04  1.03762355e-04 
 2.60561176e-04  1.03761522e-04 
 2.60602513e-04  1.03760867e-04 
 2.60685187e-04  1.03760211e-04 
 2.60850536e-04  1.03759489e-04 
 2.61000000e-04  1.03759107e-04 
 2.61001000e-04  6.42467228e-05 
 2.61003000e-04  1.58549975e-04 
 2.61004570e-04  4.08319493e-03 
 2.61005667e-04  1.42097298e-03 
 2.61006444e-04  2.57312132e-04 
 2.61007305e-04  2.38551784e-05 
 2.61008275e-04 -1.23987464e-05 
 2.61010000e-04 -1.50655631e-05 
 2.61010194e-04  3.75533413e-07 
 2.61010582e-04  1.25400426e-07 
 2.61011358e-04  2.06720796e-07 
 2.61012911e-04  2.02476906e-07 
 2.61016015e-04  1.89435971e-07 
 2.61022225e-04  1.76542029e-07 
 2.61034643e-04  1.66107944e-07 
 2.61059481e-04  1.59368705e-07 
 2.61109155e-04  1.55719156e-07 
 2.61208505e-04  1.53897792e-07 
 2.61407204e-04  1.52937290e-07 
 2.61510000e-04  1.52752576e-07 
 2.61511000e-04  1.64989582e-05 
 2.61513000e-04  1.20804479e-04 
 2.61514793e-04  2.20279956e-03 
 2.61516639e-04  1.04772554e-03 
 2.61517835e-04 -1.09071310e-04 
 2.61519134e-04  2.83303773e-05 
 2.61520000e-04  3.99259448e-05 
 2.61520162e-04  1.07697585e-06 
 2.61520485e-04 -3.44586248e-07 
 2.61521131e-04  1.08658241e-07 
 2.61522424e-04  1.64261381e-07 
 2.61525009e-04  1.53917701e-07 
 2.61530180e-04  1.47926396e-07 
 2.61540522e-04  1.43553643e-07 
 2.61561206e-04  1.40501239e-07 
 2.61602574e-04  1.38739354e-07 
 2.61685310e-04  1.37699562e-07 
 2.61850781e-04  1.36978158e-07 
 2.62000000e-04  1.36698844e-07 
 2.62000500e-04 -3.91714896e-05 
 2.62001500e-04 -3.98756335e-05 
 2.62003500e-04  4.57334698e-04 
 2.62005000e-04  3.56739133e-03 
 2.62005185e-04  2.42086128e-03 
 2.62005555e-04  1.43797032e-03 
 2.62005918e-04  8.97423259e-04 
 2.62006322e-04  4.51974910e-04 
 2.62007095e-04  6.37046192e-05 
 2.62008641e-04 -1.55553206e-05 
 2.62010000e-04 -1.53114953e-05 
 2.62010309e-04  1.59445422e-05 
 2.62010928e-04  1.56918158e-05 
 2.62012165e-04  1.84674006e-05 
 2.62014640e-04  2.23828376e-04 
 2.62017238e-04  7.27694587e-05 
 2.62019111e-04  2.50196952e-05 
 2.62020000e-04  3.26027239e-05 
 2.62020199e-04  3.49936169e-07 
 2.62020596e-04  9.67787008e-08 
 2.62021391e-04  1.87131902e-07 
 2.62022982e-04  1.84505272e-07 
 2.62026162e-04  1.77085732e-07 
 2.62032523e-04  1.70554961e-07 
 2.62045245e-04  1.65871795e-07 
 2.62070688e-04  1.62853196e-07 
 2.62121574e-04  1.61257862e-07 
 2.62223348e-04  1.60478798e-07 
 2.62426894e-04  1.60096454e-07 
 2.62510000e-04  1.60054759e-07 
 2.62511000e-04  1.65062543e-05 
 2.62513000e-04  1.20811869e-04 
 2.62514791e-04  2.19924671e-03 
 2.62516636e-04  1.16414870e-03 
 2.62517831e-04 -1.35351763e-04 
 2.62519129e-04  2.70867090e-05 
 2.62520000e-04  3.99628116e-05 
 2.62520161e-04  1.07685356e-06 
 2.62520484e-04 -3.59181104e-07 
 2.62521130e-04  9.95331878e-08 
 2.62522422e-04  1.59500051e-07 
 2.62525006e-04  1.53019876e-07 
 2.62530173e-04  1.51136734e-07 
 2.62540507e-04  1.49973024e-07 
 2.62561175e-04  1.49100488e-07 
 2.62602511e-04  1.48485015e-07 
 2.62685184e-04  1.47958536e-07 
 2.62850529e-04  1.47496091e-07 
 2.63000000e-04  1.47278524e-07 
 2.63001000e-04 -3.93585568e-05 
 2.63003000e-04  5.48960622e-05 
 2.63004570e-04  4.41071948e-03 
 2.63005667e-04  2.01712158e-03 
 2.63006444e-04  9.89916362e-04 
 2.63007305e-04  9.53583737e-04 
 2.63008275e-04  1.03418707e-03 
 2.63010000e-04  1.09122148e-03 
 2.63010194e-04  1.10651044e-03 
 2.63010582e-04  1.10514244e-03 
 2.63011358e-04  1.10335774e-03 
 2.63012911e-04  1.10157313e-03 
 2.63016015e-04  1.10071799e-03 
 2.63022225e-04  1.10082091e-03 
 2.63034643e-04  1.10107305e-03 
 2.63059481e-04  1.10111537e-03 
 2.63109155e-04  1.10110120e-03 
 2.63208505e-04  1.10109807e-03 
 2.63407204e-04  1.10109784e-03 
 2.63510000e-04  1.10109781e-03 
 2.63511000e-04  1.11744416e-03 
 2.63513000e-04  1.22174847e-03 
 2.63514793e-04  3.30368430e-03 
 2.63516639e-04  2.18928969e-03 
 2.63517835e-04  9.82241784e-04 
 2.63519134e-04  1.12880661e-03 
 2.63520000e-04  1.14086543e-03 
 2.63520162e-04  1.10201248e-03 
 2.63520485e-04  1.10058136e-03 
 2.63521131e-04  1.10103744e-03 
 2.63522424e-04  1.10109653e-03 
 2.63525009e-04  1.10108931e-03 
 2.63530180e-04  1.10108706e-03 
 2.63540522e-04  1.10108580e-03 
 2.63561206e-04  1.10108500e-03 
 2.63602574e-04  1.10108445e-03 
 2.63685309e-04  1.10108397e-03 
 2.63850780e-04  1.10108353e-03 
 2.64000000e-04  1.10108336e-03 
 2.64001000e-04  1.06157744e-03 
 2.64003000e-04  1.15583257e-03 
 2.64004570e-04  4.03942775e-03 
 2.64005666e-04  1.45163735e-03 
 2.64006444e-04  2.55314179e-04 
 2.64007304e-04  2.39375924e-05 
 2.64008274e-04 -1.21885514e-05 
 2.64010000e-04 -1.49541616e-05 
 2.64010194e-04  4.83885054e-07 
 2.64010582e-04  2.25731433e-07 
 2.64011358e-04  2.98307998e-07 
 2.64012910e-04  2.79988386e-07 
 2.64016014e-04  2.49020707e-07 
 2.64022221e-04  2.18508326e-07 
 2.64034636e-04  1.94309260e-07 
 2.64059466e-04  1.79165023e-07 
 2.64109126e-04  1.71266280e-07 
 2.64208447e-04  1.67657234e-07 
 2.64407087e-04  1.66077116e-07 
 2.64510000e-04  1.65907841e-07 
 2.64511000e-04  1.65125195e-05 
 2.64513000e-04  1.20814753e-04 
 2.64514793e-04  2.20264729e-03 
 2.64516639e-04  1.07089199e-03 
 2.64517835e-04 -1.15009867e-04 
 2.64519134e-04  2.81078070e-05 
 2.64520000e-04  3.99297999e-05 
 2.64520162e-04  1.07459642e-06 
 2.64520485e-04 -3.46653359e-07 
 2.64521131e-04  1.07904714e-07 
 2.64522424e-04  1.65708695e-07 
 2.64525009e-04  1.58578338e-07 
 2.64530180e-04  1.56339182e-07 
 2.64540522e-04  1.55076731e-07 
 2.64561206e-04  1.54263409e-07 
 2.64602574e-04  1.53693917e-07 
 2.64685309e-04  1.53198709e-07 
 2.64850780e-04  1.52759928e-07 
 2.65000000e-04  1.52597086e-07 
 2.65001000e-04 -3.93548863e-05 
 2.65003000e-04  5.49119501e-05 
 2.65004570e-04  3.90129106e-03 
 2.65005667e-04  1.47853800e-03 
 2.65006444e-04  2.57032725e-04 
 2.65007305e-04  2.33237943e-05 
 2.65008275e-04 -1.24674257e-05 
 2.65010000e-04 -1.51102412e-05 
 2.65010194e-04  3.31119512e-07 
 2.65010582e-04  8.14995089e-08 
 2.65011358e-04  1.69160249e-07 
 2.65012911e-04  1.73617237e-07 
 2.65016015e-04  1.71441330e-07 
 2.65022225e-04  1.69493318e-07 
 2.65034643e-04  1.67902006e-07 
 2.65059481e-04  1.66777500e-07 
 2.65109155e-04  1.66064265e-07 
 2.65208505e-04  1.65670934e-07 
 2.65407204e-04  1.65452406e-07 
 2.65510000e-04  1.65406032e-07 
 2.65511000e-04  1.65119994e-05 
 2.65513000e-04  1.20814326e-04 
 2.65514793e-04  2.20265100e-03 
 2.65516639e-04  1.06683603e-03 
 2.65517835e-04 -1.14193510e-04 
 2.65519134e-04  2.81560423e-05 
 2.65520000e-04  3.99195443e-05 
 2.65520162e-04  1.06634527e-06 
 2.65520485e-04 -3.55405978e-07 
 2.65521131e-04  1.00387694e-07 
 2.65522424e-04  1.59720063e-07 
 2.65525009e-04  1.54046192e-07 
 2.65530180e-04  1.53015718e-07 
 2.65540522e-04  1.52560767e-07 
 2.65561206e-04  1.52157157e-07 
 2.65602574e-04  1.51784898e-07 
 2.65685309e-04  1.51364840e-07 
 2.65850780e-04  1.50935309e-07 
 2.66000000e-04  1.50735272e-07 
 2.66001000e-04 -3.93565164e-05 
 2.66003000e-04  5.49085659e-05 
 2.66004570e-04  3.90310872e-03 
 2.66005666e-04  1.48070979e-03 
 2.66006444e-04  2.57823073e-04 
 2.66007304e-04  2.33541746e-05 
 2.66008274e-04 -1.24856277e-05 
 2.66010000e-04 -1.51130070e-05 
 2.66010194e-04  3.28566452e-07 
 2.66010582e-04  7.87762674e-08 
 2.66011358e-04  1.66872387e-07 
 2.66012910e-04  1.71840042e-07 
 2.66016014e-04  1.70317315e-07 
 2.66022221e-04  1.69053205e-07 
 2.66034636e-04  1.68065972e-07 
 2.66059466e-04  1.67388858e-07 
 2.66109126e-04  1.67006876e-07 
 2.66208447e-04  1.66756221e-07 
 2.66407087e-04  1.66573323e-07 
 2.66510000e-04  1.66509557e-07 
 2.66511000e-04  1.65131780e-05 
 2.66513000e-04  1.20815054e-04 
 2.66514793e-04  2.20262978e-03 
 2.66516639e-04  1.07505273e-03 
 2.66517835e-04 -1.15911575e-04 
 2.66519134e-04  2.80408453e-05 
 2.66520000e-04  3.99233146e-05 
 2.66520162e-04  1.06660465e-06 
 2.66520485e-04 -3.52274167e-07 
 2.66521131e-04  1.03139662e-07 
 2.66522424e-04  1.62371183e-07 
 2.66525009e-04  1.56970616e-07 
 2.66530180e-04  1.56244625e-07 
 2.66540522e-04  1.55955571e-07 
 2.66561206e-04  1.55715322e-07 
 2.66602574e-04  1.55417378e-07 
 2.66685309e-04  1.55062851e-07 
 2.66850780e-04  1.54715921e-07 
 2.67000000e-04  1.54592409e-07 
 2.67001000e-04 -3.93531607e-05 
 2.67003000e-04  5.49155835e-05 
 2.67004568e-04  3.97036178e-03 
 2.67005662e-04  1.47884446e-03 
 2.67006438e-04  2.60203928e-04 
 2.67007296e-04  2.44335633e-05 
 2.67008264e-04 -1.23428794e-05 
 2.67010000e-04 -1.51052010e-05 
 2.67010193e-04  3.32331545e-07 
 2.67010580e-04  8.21821089e-08 
 2.67011354e-04  1.69882301e-07 
 2.67012902e-04  1.74215265e-07 
 2.67015998e-04  1.71858039e-07 
 2.67022190e-04  1.69695400e-07 
 2.67034574e-04  1.67959841e-07 
 2.67059341e-04  1.66707057e-07 
 2.67108876e-04  1.65953184e-07 
 2.67207946e-04  1.65522782e-07 
 2.67406086e-04  1.65297198e-07 
 2.67510000e-04  1.65235759e-07 
 2.67511000e-04  1.65118472e-05 
 2.67513000e-04  1.20814159e-04 
 2.67514793e-04  2.20265079e-03 
 2.67516639e-04  1.06694557e-03 
 2.67517835e-04 -1.14195129e-04 
 2.67519134e-04  2.81586977e-05 
 2.67520000e-04  3.99208683e-05 
 2.67520162e-04  1.06754216e-06 
 2.67520485e-04 -3.54254794e-07 
 2.67521131e-04  1.01408971e-07 
 2.67522424e-04  1.60521314e-07 
 2.67525009e-04  1.54585278e-07 
 2.67530180e-04  1.53310373e-07 
 2.67540522e-04  1.52632478e-07 
 2.67561206e-04  1.52070863e-07 
 2.67602574e-04  1.51648944e-07 
 2.67685309e-04  1.51222432e-07 
 2.67850780e-04  1.50779068e-07 
 2.68000000e-04  1.50587393e-07 
 2.68001000e-04 -3.93566652e-05 
 2.68003000e-04  5.49084250e-05 
 2.68004570e-04  3.88147568e-03 
 2.68005666e-04  1.48507070e-03 
 2.68006444e-04  2.58053024e-04 
 2.68007304e-04  2.33193819e-05 
 2.68008274e-04 -1.24946360e-05 
 2.68010000e-04 -1.51170342e-05 
 2.68010194e-04  3.24358836e-07 
 2.68010582e-04  7.47732597e-08 
 2.68011358e-04  1.63160462e-07 
 2.68012910e-04  1.68606063e-07 
 2.68016014e-04  1.67747214e-07 
